ticker,name,sector,cap_tier,avg_volume,exchange
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Large-Cap,1989687,NYQ
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Large-Cap,2429419,NYQ
FERG,Ferguson Enterprises Inc.,Industrials,Large-Cap,1397559,NYQ
UAL,"United Airlines Holdings, Inc.",Industrials,Large-Cap,6555306,NMS
DEO,Diageo plc,Consumer Defensive,Large-Cap,1352379,NYQ
VTR,"Ventas, Inc.",Real Estate,Large-Cap,4453772,NYQ
INFY,Infosys Limited,Technology,Large-Cap,19038208,NYQ
LYV,"Live Nation Entertainment, Inc.",Communication Services,Large-Cap,2780422,NYQ
ADSK,"Autodesk, Inc.",Technology,Large-Cap,2574800,NMS
CCJ,Cameco Corporation,Energy,Large-Cap,3173304,NYQ
GFS,GlobalFoundries Inc.,Technology,Large-Cap,4702969,NMS
BDX,"Becton, Dickinson and Company",Healthcare,Large-Cap,3009572,NYQ
COIN,"Coinbase Global, Inc.",Financial Services,Large-Cap,9459408,NMS
WCN,"Waste Connections, Inc.",Industrials,Large-Cap,1711474,NYQ
CLS,"Celestica, Inc.",Technology,Large-Cap,2246367,NYQ
RBLX,Roblox Corporation,Communication Services,Large-Cap,11894556,NYQ
HLN,Haleon plc,Healthcare,Large-Cap,8980493,NYQ
AU,AngloGold Ashanti PLC,Basic Materials,Large-Cap,2931648,NYQ
ED,"Consolidated Edison, Inc.",Utilities,Large-Cap,2298788,NYQ
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Large-Cap,1139429,NMS
AIG,"American International Group, I",Financial Services,Large-Cap,4378620,NYQ
CBRE,CBRE Group Inc,Real Estate,Large-Cap,2265358,NYQ
BIDU,"Baidu, Inc.",Communication Services,Large-Cap,2510325,NMS
PEG,Public Service Enterprise Group,Utilities,Large-Cap,2860325,NYQ
SYY,Sysco Corporation,Consumer Defensive,Large-Cap,4212475,NYQ
RVMD,"Revolution Medicines, Inc.",Healthcare,Large-Cap,3518159,NMS
JBS,JBS N.V.,Consumer Defensive,Large-Cap,7115664,NYQ
JBL,Jabil Inc.,Technology,Large-Cap,1324435,NYQ
NTRA,"Natera, Inc.",Healthcare,Large-Cap,1569696,NMS
CCL,Carnival Corporation Ltd.,Consumer Cyclical,Large-Cap,27331679,NYQ
TEVA,Teva Pharmaceutical Industries ,Healthcare,Large-Cap,6192353,NYQ
PYPL,"PayPal Holdings, Inc.",Financial Services,Large-Cap,15400812,NMS
TKO,"TKO Group Holdings, Inc.",Communication Services,Large-Cap,1483437,NYQ
PRU,"Prudential Financial, Inc.",Financial Services,Large-Cap,2084295,NYQ
VMC,Vulcan Materials Company (Holdi,Basic Materials,Large-Cap,1136906,NYQ
RDDT,"Reddit, Inc.",Communication Services,Large-Cap,4908200,NYQ
WEC,"WEC Energy Group, Inc.",Utilities,Large-Cap,2054777,NYQ
A,"Agilent Technologies, Inc.",Healthcare,Large-Cap,2303133,NYQ
ARES,Ares Management Corporation,Financial Services,Large-Cap,2932445,NYQ
KVUE,Kenvue Inc.,Consumer Defensive,Large-Cap,20080003,NYQ
WAT,Waters Corporation,Healthcare,Large-Cap,1035338,NYQ
TRI,Thomson Reuters Corp,Industrials,Large-Cap,1996529,NMS
KMB,Kimberly-Clark Corporation,Consumer Defensive,Large-Cap,4808356,NMS
ON,ON Semiconductor Corporation,Technology,Large-Cap,12912954,NMS
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Large-Cap,3681406,NYQ
